-20.6848	4.19006	
-20.6802	4.20685	
-20.6894	4.18091	
-20.6741	4.17633	
-20.6757	4.19312	
-20.6741	4.18396	
-20.6726	4.18396	
-20.6604	4.17633	
-20.6589	4.19769	
-20.6696	4.2099	
-20.665	4.21448	
-20.6421	4.2099	
-20.6451	4.2038	
-20.6161	4.20074	
-20.61	4.19312	
-20.6055	4.21906	
-20.5902	4.22211	
-20.5673	4.22516	
-20.5643	4.23584	
-20.5597	4.22974	
-20.5643	4.2099	
-20.5612	4.21295	
-20.5505	4.21295	
-20.5704	4.21143	
-20.5704	4.21753	
-20.5582	4.21143	
-20.5658	4.216	
-20.5872	4.20837	
-20.5856	4.20074	
-20.5826	4.18549	
-20.6024	4.19006	
-20.5994	4.19312	
-20.5963	4.1748	
-20.6268	4.18701	
-20.6284	4.1687	
-20.6467	4.17633	
-20.6543	4.16412	
-20.6757	4.18091	
-20.665	4.19464	
-20.7031	4.1687	
-20.7047	4.16565	
-20.6696	4.18243	
-20.694	4.17023	
-20.6802	4.1748	
-20.6772	4.19922	
-20.6741	4.19464	
-20.6787	4.2038	
-20.6619	4.21295	
-20.6512	4.20074	
-20.6451	4.2038	
-20.6451	4.20074	
-20.6543	4.20074	
-20.636	4.21143	
-20.6192	4.20532	
-20.6039	4.2099	
-20.5963	4.22058	
-20.5826	4.22211	
-20.575	4.2099	
-20.575	4.19769	
-20.5566	4.21448	
-20.5658	4.20685	
-20.5643	4.19312	
-20.5612	4.2038	
-20.5643	4.19769	
-20.575	4.18549	
-20.5795	4.18396	
-20.575	4.19159	
-20.5765	4.18396	
-20.6055	4.18549	
-20.5856	4.17786	
-20.5963	4.17786	
-20.5933	4.18243	
-20.5978	4.17938	
-20.6161	4.1626	
-20.6299	4.16565	
-20.6512	4.17328	
-20.6573	4.1687	
-20.6635	4.16718	
-20.6665	4.17786	
-20.6848	4.15955	
-20.6909	4.1748	
-20.6955	4.17023	
-20.6909	4.1687	
-20.6833	4.16565	
-20.6879	4.15802	
-20.6711	4.16718	
-20.6711	4.17786	
-20.6512	4.18243	
-20.6573	4.17786	
-20.6528	4.19159	
-20.6512	4.19769	
-20.6482	4.20532	
-20.6421	4.2038	
-20.6314	4.21448	
-20.6284	4.22516	
-20.6024	4.21753	
-20.5795	4.23279	
-20.5734	4.22821	
-20.5719	4.22821	
-20.5658	4.23737	
-20.5612	4.21753	
-20.5582	4.21906	
-20.5536	4.22363	
-20.5399	4.22058	
-20.5475	4.21906	
-20.575	4.21143	
-20.5704	4.21448	
-20.5582	4.21448	
-20.5658	4.2099	
-20.5658	4.21143	
-20.5872	4.2038	
-20.578	4.21143	
-20.5917	4.19464	
-20.5978	4.19464	
-20.6223	4.19617	
-20.6345	4.18396	
-20.6451	4.18243	
-20.6619	4.19159	
-20.6619	4.19312	
-20.6848	4.19922	
-20.6924	4.18091	
-20.6833	4.1748	
-20.6879	4.18396	
-20.6894	4.18091	
-20.6711	4.19769	
-20.6726	4.19769	
-20.665	4.19312	
-20.6604	4.19159	
-20.6512	4.20227	
-20.6543	4.19159	
-20.6345	4.19617	
-20.6467	4.19006	
